"Time [ms]","InducedVoltage(PhaseA) [kV] - If='279A'","InducedVoltage(PhaseC) [kV] - If='279A'"
90.5000000000001,2.08794001050104,-5.74373564493265
91.0000000000001,1.21693094489027,-5.46543158274059
91.5000000000001,0.285340801397332,-5.08461401802835
92.0000000000001,-0.670085788685959,-4.60835997372792
92.5000000000001,-1.61551129406264,-4.03043182038682
93.0000000000001,-2.57305777636508,-3.36057977144404
93.5000000000001,-3.44245196369018,-2.61482694949377
94.0000000000001,-4.19341736615042,-1.80255271457717
94.5000000000001,-4.80379949239807,-0.900934583906988
95.0000000000001,-5.28166163826957,0.0337184484065034
95.5000000000001,-5.63739214537525,0.985757566784052
96.0000000000001,-5.85053505748519,1.93497097721036
96.5000000000001,-5.89936952209443,2.88103568630012
97.0000000000001,-5.80041055733461,3.7127122194979
97.5000000000001,-5.56766839655353,4.41537050680926
98.0000000000001,-5.22120356738977,4.97566126191467
98.5000000000001,-4.77356014266825,5.413688125539
99.0000000000001,-4.23084589860363,5.72406032661087
99.5000000000001,-3.57919584825376,5.88747283696522
100,-2.86213817249845,5.87830467981773
